"area","Reporting Economy","Year","value"
"ARG","Chile","2008","1786"
"ARG","CzechRepublic","2008","0"
"ARG","Denmark","2008","340.593010274556"
"ARG","Estonia","2008","0.803010524030473"
"ARG","France","2008","147.520130931075"
"ARG","Germany","2008","0"
"ARG","Hungary","2008","-3.5866265765526"
"ARG","Italy","2008","31.3828203065635"
"ARG","Korea,Republicof","2008","0"
"ARG","Mexico","2008","0"
"ARG","Netherlands","2008","88.3729086238042"
"ARG","Norway","2008","1.42857142857143"
"ARG","Panama","2008","178.246"
"ARG","Paraguay","2008","151.533"
"ARG","Peru","2008","29.772"
"ARG","Poland","2008","-4.82814504693092"
"ARG","Portugal","2008","0"
"ARG","SaudiArabia","2008","0"
"ARG","Slovakia","2008","0"
"ARG","SouthAfrica","2008","20.9564750134336"
"ARG","Spain","2008","571.988432195016"
"ARG","UnitedStates","2008","435"
"ARG","Uruguay","2008","0"
"ARG","Venezuela","2008","0"
"ARG","Belgium","2009","-2423.08994388861"
"ARG","Brazil","2009","0"
"ARG","Bulgaria","2009","1.13951494983109"
"ARG","Cambodia","2009","0.964"
